SN,TITLE,CONTENT,VOTE_SCORE,REG_DATE
191825.0,신림1구역 조합장과 GS 건설,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191825,0.0,2021-12-07 21:14:43.0
191824.0,가짜뉴스 유포 처벌 강화,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191824,0.0,2021-12-07 16:12:57.0
191823.0,마천5구역(성당구역)신속통합기획후보지 선정 필히 바랍니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191823,0.0,2021-12-07 15:46:37.0
191822.0,서울 상도4동 약수터 시내버스 추가 요청드립니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191822,0.0,2021-12-07 11:44:48.0
191821.0,합법적인 공유숙박을 통한 외래관광객 숙소 부족문제 해결과 가계소득증대,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191821,0.0,2021-12-07 10:11:48.0
191820.0,아동의 자판기 이용 불편사항에 대한 건의,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191820,0.0,2021-12-06 22:43:17.0
191819.0,공공도서관 백신접종자만 이용은 차별입니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191819,1.0,2021-12-06 22:18:10.0
191818.0,대청근린공원  내  공원 트리 끄기,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191818,0.0,2021-12-06 21:52:45.0
191817.0,재택근무 가능 직종 임산부 재택근무 의무화,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191817,0.0,2021-12-06 17:07:39.0
191816.0,버스 아저씨가 가야되는거 알겠는데 그 버스 하나 보고 뛰어온 학생도 생각 해주시면 안될까요?,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191816,0.0,2021-12-06 16:39:02.0
191815.0,프리랜서의 고용보험 적용확대를 위한 개선방안을 제안합니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191815,16.0,2021-12-06 16:18:12.0
191814.0,서울시내 주요 공원 길고양이 위한 보금자리 마련,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191814,0.0,2021-12-06 14:57:02.0
191813.0,지역주민센터에 &#39;공유 냉장고&#39; 운영을 제안합니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191813,0.0,2021-12-05 22:19:58.0
191812.0,장애인과 보호자 지하철 개찰구 통과 시 문제 해결 제안,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191812,0.0,2021-12-05 17:56:58.0
191811.0,아동을 위한 녹지 및 놀이시설 부족 문제와 해결방안,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191811,2.0,2021-12-05 14:50:48.0
191810.0,길거리 흡연의 문제와 흡연부스 설치,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191810,0.0,2021-12-05 08:47:43.0
191809.0,코로나19 병상부족 대응방안,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191809,0.0,2021-12-04 18:29:39.0
191808.0,&#39;경의선 숲길&#39; 시멘트를 우레탄으로 교체요청,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191808,4.0,2021-12-04 16:37:33.0
191806.0,코로나19대응책,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191806,0.0,2021-12-04 08:42:54.0
191805.0,운동 관련 온라인 플랫폼 구축,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191805,0.0,2021-12-04 08:37:35.0
191804.0,청년 1인가구의 심리적 안정 지원,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191804,0.0,2021-12-04 00:17:15.0
191802.0,장애인들의 정류장 접근 환경을 개선하기 위해 버스정류장 시설과 교통약자 서비스 개선을 요구합니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191802,4.0,2021-12-03 20:42:55.0
191801.0,장애인들의 대중교통 이용 편의 증진을 위해 한 번에 가는 노선 도입을 요구합니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191801,4.0,2021-12-03 20:22:18.0
191800.0,버스정류장 주변 불법주차 단속을 강화해 주십시오,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191800,4.0,2021-12-03 19:55:59.0
191799.0,임시선별진료소 확충,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191799,1.0,2021-12-03 19:14:00.0
191797.0,효과적 자원 재활용을 위해 제안합니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191797,1.0,2021-12-03 13:35:04.0
191796.0,반려동물과 함께 갈 수 있는 곳을 모아 만든 서울시 지도,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191796,0.0,2021-12-02 23:44:08.0
